,airport,city,state,flights_out,flights_in,flights_total,passengers_out,passengers_in,passengers_total,lat,lng
102,CAD,"Cadillac, MI",MI,386,376,756,0,3,3,44.2519526,-85.40116189999999
103,CAE,"Columbia, SC",SC,255681,253122,508803,10466260,10537808,21004068,34.0007104,-81.0348144
104,CAK,"Akron, OH",OH,160854,161236,322090,7279854,7202641,14482495,41.0814447,-81.51900529999999
105,CBE,"Cumberland, MD",MD,4298,4167,8465,15758,14205,29963,39.6528654,-78.7625185
106,CBM,"Columbus, MS",MS,4,4,8,325,326,651,33.4956744,-88.4272627
107,CDC,"Cedar City, UT",UT,8322,8315,16636,59806,59302,119011,37.67747689999999,-113.0618931
108,CEC,"Crescent City, CA",CA,12205,11939,24144,100120,92832,192952,41.7557501,-124.2025913
109,CEV,"Connersville, IN",IN,14,3,6,0,0,0,39.6411589,-85.1410748
110,CGF,"Cleveland, OH",OH,1,1,2,2,2,4,41.49932,-81.6943605
111,CGI,"Cape Girardeau, MO",MO,13582,13638,27219,90412,88491,178827,37.3058839,-89.51814759999999
112,CGX,"Chicago, IL",IL,4001,4018,8019,28848,29724,58572,41.8781136,-87.6297982
113,CHA,"Chattanooga, TN",TN,127419,127779,255198,4533932,4361339,8895271,35.0456297,-85.3096801
114,CHI,"Chicago, IL",IL,31,69,100,0,0,0,41.8781136,-87.6297982
115,CHO,"Charlottesville, VA",VA,73388,73704,147092,1593186,1585223,3178409,38.0293059,-78.47667810000002
116,CHS,"Charleston, SC",SC,276275,278860,555135,15934781,16030381,31965162,32.7764749,-79.93105120000001
117,CIC,"Chico, CA",CA,17376,17351,34725,198458,200277,398525,39.7284944,-121.8374777
118,CID,"Cedar Rapids, IA",IA,199999,200436,400435,7360515,7239728,14600243,41.9778795,-91.6656232
119,CKB,"Clarksburg, WV",WV,15088,15249,30334,110541,100895,211315,39.2806451,-80.34453409999999
120,CLE,"Cleveland, OH",OH,1854570,1849821,3704391,95486042,95454431,190940473,41.49932,-81.6943605
121,CLL,"College Station, TX",TX,74079,74181,148260,1367493,1329874,2697367,30.627977,-96.3344068
122,CLM,"Port Angeles, WA",WA,54210,45284,99494,640924,452650,1093574,48.118146,-123.4307413
123,CLT,"Charlotte, NC",NC,2840726,2837060,5677786,202808373,203664750,406473123,35.2270869,-80.8431267
124,CLU,"Columbus, IN",IN,160,153,285,0,0,0,39.2014404,-85.9213796
125,CMH,"Columbus, OH",OH,910922,913102,1824024,58399343,58206090,116605433,39.9611755,-82.99879419999999
126,CMI,"Champaign, IL",IL,97294,97729,195023,2171344,2158423,4329767,40.1164204,-88.2433829
127,CNM,"Carlsbad, NM",NM,12553,12300,24853,55321,57665,112986,32.4206736,-104.2288375
128,CNW,"Waco, TX",TX,262,274,536,0,0,0,31.549333,-97.1466695
129,COS,"Colorado Springs, CO",CO,249974,251888,501862,16906709,17029907,33936616,38.8338816,-104.8213634
130,COU,"Columbia, MO",MO,41568,41846,83414,482965,479952,962917,38.9517053,-92.3340724
131,CPR,"Casper, WY",WY,29558,30495,60032,502696,504136,1006242,42.8500769,-106.3251749
132,CPS,"St. Louis, MO",MO,50,48,96,1802,1738,3484,38.6270025,-90.19940419999999
133,CRE,"Myrtle Beach, SC",SC,1,1,2,26,24,50,33.6890603,-78.8866943
134,CRP,"Corpus Christi, TX",TX,179208,179167,358375,8607535,8599103,17206638,27.8005828,-97.39638099999999
